"OrderID","CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipPostalCode","ShipCountry","ShipRegion","CountryCode"
"10262","RATTC","8","1996-07-22 00:00:00","1996-08-19 00:00:00","1996-07-25 00:00:00","3","48.29","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","NM","US"
"10272","RATTC","6","1996-08-02 00:00:00","1996-08-30 00:00:00","1996-08-06 00:00:00","2","98.03","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","NM","US"
"10294","RATTC","4","1996-08-30 00:00:00","1996-09-27 00:00:00","1996-09-05 00:00:00","2","147.26","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","NM","US"
"10314","RATTC","1","1996-09-25 00:00:00","1996-10-23 00:00:00","1996-10-04 00:00:00","2","74.16","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","NM","US"
"10316","RATTC","1","1996-09-27 00:00:00","1996-10-25 00:00:00","1996-10-08 00:00:00","3","150.15","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","NM","US"
"10346","RATTC","3","1996-11-05 00:00:00","1996-12-17 00:00:00","1996-11-08 00:00:00","3","142.08","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","NM","US"
"10401","RATTC","1","1997-01-01 00:00:00","1997-01-29 00:00:00","1997-01-10 00:00:00","1","12.51","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","NM","US"
"10479","RATTC","3","1997-03-19 00:00:00","1997-04-16 00:00:00","1997-03-21 00:00:00","3","708.95","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","NM","US"
"10564","RATTC","4","1997-06-10 00:00:00","1997-07-08 00:00:00","1997-06-16 00:00:00","3","13.75","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","NM","US"
"10569","RATTC","5","1997-06-16 00:00:00","1997-07-14 00:00:00","1997-07-11 00:00:00","1","58.98","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","NM","US"
